id;Fecha;Ruta;Operadora;Proposito_del_Vuelo;Tipo_de_Aeronave;N_Registro;Total_abordo;Pasajeros_Abordo;Tripulacion_Abordo;N_Fallecidos;Pasajeros_Fallecidos;Tripulacion_Fallecida;Fallecidos_en_Tierra;año
2800;1975-04-04;Saigon, South Vietnam;Military - U.S. Air Force;Saigon - Clark - Los Angeles;Lockheed C-5A Galaxy;68-218;330;314;16;155;150;5;0;1975
2801;1975-05-13;Near Sakon Nakhon, Thailand;Military - U.S. Air Force;Nakhom Phanom AB - Utapao AB;Sikorsky CH-53C (helicopter);68-10933;23;19;4;23;19;4;0;1975
2802;1975-06-03;Manila, Philippines;Philippine Air Lines;Legaspi - Manilla;BAC One-Eleven 524FF;RP-C1184;64;59;5;1;1;0;0;1975
2803;1975-06-17;Pedro Alfonso, Brazil;Varig;Sao Paulo - Porto Nacional - Pedro Afonso - Belém;Hawker Siddeley HS-748-235 Srs. 2A;PP-VDN;15;11;4;1;0;1;3;1975
2804;1975-06-24;JFK Airport, New York, New York;Eastern Air Lines;New Orleans - New York City;Boeing B-727-225;N8845E;124;116;8;113;107;6;0;1975
2805;1975-06-26;Toledo, Ohio;Hamilton Aviation;Detroit, MI - Peducah, KY;Beechcraft E18S;N791A;2;1;1;2;1;1;0;1975
2806;1975-07-10;Bogota, Colombia;Aerovias Condor;Bogota  - Barranquilla;Lockheed L-188AF Electra;HK-1976;4;0;4;2;0;2;0;1975
2807;1975-07-15;Near Batumi, Georgia, USSR;Aeroflot;Yerevan - Batumi;Yakovlev YAK-40;CCCP-87475;40;35;5;40;35;5;0;1975
2808;1975-07-31;Taipei, Taiwan;Far Eastern Air Transport;Hualien - Taipei;Vickers 837 Viscount;B-2029;75;70;5;27;27;0;0;1975
2809;1975-08-03;Near Immouzer, Morocco;Alia Royal Jordanian Airlines;Paris - Agadir;Boeing B-707-321C;JY-AEE;188;181;7;188;181;7;0;1975
2810;1975-08-03;Off Amapala, Honduras;Military - Nicaraguan Air Force;Veracruz - Managua;Douglas DC-47;412;20;17;3;20;17;3;0;1975
2811;1975-08-07;Denver, Colorado;Continental Airlines;Denver - Wichita;Boeing B-727-224;N88777;131;124;7;0;0;0;0;1975
2812;1975-08-09;Bagdarin, Russia;Aeroflot;Chita - Bagdarin;Ilyushin IL-14M;CCCP-52056;11;6;5;11;6;5;0;1975
2814;1975-08-20;Near Damascus, Syria;Ceskoslovenske Aerolinie;Prague, Czechoslovakia - Damascus, Syria;Ilyushin IL-62;OK-DBF;128;117;11;126;115;11;0;1975
2815;1975-08-30;Near Gambell, Alaska;Wien Air Alaska;Nome - Gambell;Fairchild F-27B;N4904;32;28;4;10;7;3;0;1975
2816;1975-09-01;Leipzig-Halle, East Germany;Interflug;Stuttgart - Leipzig;Tupolev TU-134;DM-SCD;34;28;6;27;24;3;0;1975
2817;1975-09-11;Near Bahar Dar, Ethiopia;Ethiopian Airlines;Bahar Dar - Debra Marcos;Douglas C-47-DL;ET-ABX;9;6;3;1;1;0;0;1975
2818;1975-09-24;Near Palembang, Indonesia;Garuda Indonesia Airlines;Jakarta - Palembang;Fokker F-28 Fellowship 1000;PK-GVC;61;57;4;25;21;4;1;1975
2819;1975-09-30;Off Beirut, Lebanon;Malev Hungarian Airlines;Budapest - Beirut, Lebanon;Tupolev TU-154B;HA-LCI;60;50;10;60;50;10;0;1975
2820;1975-09-30;Barranquilla, Colombia;AVIANCA;Bogota - Barranquilla;Boeing 727-24C;HK-1272;4;0;4;4;0;4;0;1975
2821;1975-10-22;Novgorod, Russia;Aeroflot;Syktyvkar - Vologda - Novgorod - Riga;Yakovlev Yak-40;CCCP-87458;6;2;4;6;2;4;5;1975
2822;1975-10-23;Cairns Airport, Queensland, Australia;Connair;Mount Isa - Cairns;de Havilland DH114 Heron 2E;VH-CLS;11;8;3;11;8;3;0;1975
2823;1975-10-27;Tomonoco, Bolivia;TAM (Bolivia);Tomonoco - La Paz;Convair CV-440-12;TAM-44;67;63;4;67;63;4;0;1975
2824;1975-10-30;Near Prague, Czechoslovakia;Inex Adria Aviopromet;Tivat - Praha;McDonnell Douglas DC-9-32;YU-AJO;120;115;5;75;71;4;0;1975
2826;1975-11-17;Near Sukhumi, Georgia, USSR;Aeroflot;Tbilisi - Sukhumi;Antonov AN-24;CCCP-46467;38;33;5;38;33;5;0;1975
2827;1975-11-18;Caoba, Guatemala;Aviateca;Uaxactun - Flores;Douglas DC-3;TG-AGA;22;18;4;15;11;4;0;1975
2828;1975-11-20;Kharkov, Ukraine, USSR;Aeroflot;Rostov, Russia - 	Kharkov, Ukraine;Antonov AN-24;CCCP-46349;50;46;4;19;18;1;0;1975
